group,Trading,PermanentlyCeasedTrading,TemporarilyCeasedTrading
England,0.778,0.004,0.218
Wales,0.762,0.011,0.227
Scotland,0.776,0.007,0.217
Northern Ireland,0.728,0.000,0.272
UK,0.767,0.005,0.228
